Major,Total - Bachelor,Total Males - Bachelor,Total Females - Bachelor,Total - Master,Total Males - Master,Total Females - Masters,Total Phd,Total Males - Phd,Total Females - Phd
  Respiratory care therapy/therapist ..........................................................,1069,309,760,19,7,12,0,0,0
  Surgical technology/technologist ..........................................................,10,3,7,0,0,0,0,0,0
  Diagnostic medical sonography/sonographer and ultrasound technician .........................,511,74,437,12,2,10,0,0,0
  Radiologic technology/science radiographer ..................................................,1096,297,799,65,21,44,1,0,1
  Physician assistant .........................................................................,733,199,534,5439,1348,4091,10,10,0
  Athletic training/trainer ...................................................................,3385,1364,2021,517,228,289,0,0,0
  Gene/genetic therapy ...................................................................,11,0,11,0,0,0,0,0,0
  Radiation protection/health physics technician ...................................................................,13,4,9,27,15,12,1,1,0
  Magnetic resonance imaging (MRI) technology/technician .............................................................,18,7,11,0,0,0,0,0,0
"  Allied health diagnostic/intervention/treatment professions, other ....................",217,67,150,16,9,7,89,19,70
  Cytotechnology/cytotechnologist .............................................................,55,15,40,6,2,4,0,0,0
  Hematology technology/technician ............................................................,0,0,0,4,2,2,0,0,0
  Clinical/medical laboratory technician ......................................................,100,33,67,0,0,0,0,0,0
  Clinical laboratory science/medical technology/technologist .................................,2596,737,1859,159,62,97,0,0,0
  Histologic technology/histotechnologist ....................................................................,7,5,2,3,0,3,0,0,0
  Cytogenetics/genetics/clinical genetics technology/technologist .............................,44,22,22,0,0,0,0,0,0
"  Clinical/medical laboratory science and allied professions, other ...........................",127,45,82,234,99,135,13,3,10
  Pre-dentistry studies .......................................................................,14,4,10,0,0,0,0,0,0
  Pre-medicine/pre-medical studies ............................................................,744,334,410,59,31,28,0,0,0
  Pre-pharmacy studies ........................................................................,14,2,12,0,0,0,0,0,0
  Pre-veterinary studies ......................................................................,229,38,191,0,0,0,0,0,0
  Pre-nursing studies .........................................................................,20,1,19,0,0,0,0,0,0
  Pre-occupational therapy studies ......................................................,87,5,82,0,0,0,0,0,0
  Pre-optometry studies ................................................................................,1,0,1,0,0,0,0,0,0
  Pre-physical therapy studies ......................................................,186,63,123,0,0,0,0,0,0
"  Health/medical preparatory programs, other ..................................................",938,290,648,47,23,24,0,0,0
  Medicine ............................................................................,0,0,0,0,0,0,16927,8809,8118
  Medical scientist .................................................................,0,0,0,372,161,211,21,14,7
  Substance abuse/addiction counseling ........................................................,416,88,328,467,135,332,0,0,0
  Psychiatric/mental health services technician ...............................................,251,41,210,17,3,14,0,0,0
  Clinical/medical social work ................................................................,162,29,133,390,58,332,4,1,3
  Community health services/liaison/counseling ................................................,884,137,747,240,41,199,4,0,4
  Marriage and family therapy/counseling ......................................................,0,0,0,2833,465,2368,87,20,67
  Clinical pastoral counseling/patient counseling .............................................,24,7,17,53,13,40,21,13,8
  Psychoanalysis and psychotherapy ............................................................,0,0,0,16,4,12,11,4,7
  Mental health counseling/counselor ..........................................................,12,1,11,3141,504,2637,15,1,14
  Genetic counseling/counselor ................................................................,0,0,0,125,4,121,0,0,0
"  Mental and social health services and allied professions, other .............................",441,46,395,110,15,95,16,3,13
  Optometry ............................................................................,0,0,0,0,0,0,1361,476,885
  Opthalmic technician/technologist ........................................................................,4,0,4,0,0,0,0,0,0
"  Ophthalmic/optometric support services/allied professions, other ................................",7,4,3,122,56,66,2,1,1
  Osteopathic medicine/osteopathy ......................................................,0,0,0,0,0,0,4336,2283,2053
  Pharmacy ....................................................................................,731,311,420,23,12,11,12920,4959,7961
  Pharmacy admin. and pharmacy policy and regulatory affairs ....................................,17,4,13,411,180,231,25,10,15
  Pharmaceutics and drug design .................................................................,213,96,117,88,36,52,159,81,78
  Medicinal and pharmaceutical chemistry .........................................................,8,2,6,45,27,18,68,37,31
  Natural products chemistry and pharmacognosy ...................................................,0,0,0,3,1,2,5,1,4
  Clinical and industrial drug development .....................................................................,33,10,23,143,53,90,0,0,0
  Pharmacoeconomics/pharmaceutical economics .....................................................,0,0,0,2,2,0,90,49,41
"  Clinical, hospital, and managed care pharmacy ................................................",0,0,0,6,3,3,0,0,0
  Industrial and physical pharmacy and cosmetic sciences ..............................................,0,0,0,15,3,12,0,0,0
  Pharmaceutical sciences ........................................................................,279,122,157,119,47,72,81,46,35
  Pharmaceutical marketing and management ........................................................................,46,15,31,2,2,0,0,0,0
"  Pharmacy, pharmaceutical sciences, and administration, other ............................................",471,179,292,311,144,167,91,51,40
  Podiatric medicine/podiatry ......................................................,0,0,0,0,0,0,535,342,193
"  Public health, general ........................................................................",1365,317,1048,7123,1846,5277,339,100,239
  Environmental health ........................................................................,284,129,155,523,192,331,57,21,36
  Health/medical physics ......................................................................,33,14,19,79,59,20,51,34,17
  Occupational health and industrial hygiene ..................................................,83,42,41,90,51,39,9,4,5
  Public health education and promotion .......................................................,1872,326,1546,758,112,646,60,13,47
  Community health and preventive medicine ....................................................,1008,179,829,123,24,99,23,7,16
  Maternal and child health ...................................................................,5,0,5,109,4,105,17,4,13
  International public health/international health ...................................................................,45,13,32,395,81,314,2,0,2
  Health services administration ..............................................................,647,91,556,707,248,459,11,0,11
  Behavioral aspects of health ......................................................,72,21,51,4,0,4,3,0,3
"  Public health, other ........................................................................",789,206,583,797,204,593,113,29,84
  Art therapy/therapist .......................................................................,163,7,156,426,12,414,0,0,0
  Dance therapy/therapist .....................................................................,0,0,0,23,1,22,0,0,0
  Music therapy/therapist .....................................................................,266,34,232,79,10,69,3,1,2
  Occupational therapy/therapist ..............................................................,850,80,770,4992,469,4523,231,25,206
  Orthotist/prosthetist .......................................................................,28,13,15,52,19,33,0,0,0
  Physical therapy/therapist ..................................................................,324,107,217,417,143,274,9314,2892,6422
  Therapeutic recreation/recreational therapy .................................................,466,68,398,60,10,50,0,0,0
  Vocational rehabilitation counseling/counselor ..............................................,282,49,233,1040,217,823,9,6,3
  Kinesiotherapy/kinesiotherapist .........................................................................,38,9,29,11,2,9,0,0,0
  Animal-assisted therapy ................................................................................,2,0,2,0,0,0,0,0,0
  Rehabilitation science ...............................................,406,109,297,108,37,71,31,17,14
"  Rehabilitation and therapeutic professions, other ...................................................",573,116,457,363,62,301,24,9,15
  Veterinary medicine ...........................................................................,0,0,0,0,0,0,2616,588,2028
"  Veterinary sciences/veterinary clinical sciences, general .......................",33,5,28,198,69,129,200,67,133
  Veterinary physiology .......................................................................,0,0,0,0,0,0,1,1,0
  Veterinary microbiology and immunobiology ...................................................,30,6,24,2,1,1,4,2,2
  Veterinary pathology and pathobiology ......................................................................,0,0,0,1,0,1,14,8,6
  Large animal/food animal/equine surgery and medicine .........................................,0,0,0,2,0,2,2,1,1
  Small/companion animal surgery and medicine .................................................,0,0,0,3,2,1,0,0,0
  Comparative and laboratory animal medicine ..................................................,0,0,0,24,4,20,0,0,0
  Veterinary preventive medicine epidemiology/public health ......................................,0,0,0,2,1,1,0,0,0
  Veterinary infectious diseases ........................................................,0,0,0,0,0,0,15,5,10
  Medical illustration/medical illustrator ......................................................,66,9,57,38,7,31,0,0,0
  Medical informatics .........................................................................,42,14,28,236,124,112,34,21,13
  Dietetics/dietitian ....................................................................,2565,276,2289,399,20,379,1,0,1
  Clinical nutrition/nutritionist .............................................................,124,17,107,134,14,120,6,0,6
"  Dietetics and clinical nutrition services, other ............................................",74,5,69,21,2,19,0,0,0
  Bioethics/medical ethics ....................................................................,1,1,0,237,106,131,21,7,14
"  Alternative and complementary medicine and medical systems, general ......................................................",101,18,83,13,4,9,29,14,15
  Acupuncture .................................................................................,94,36,58,1326,416,910,55,14,41
  Traditional Chinese medicine and Chinese herbology ....................................,0,0,0,283,59,224,9,5,4
  Naturopathic medicine/naturopathy ......................................................,0,0,0,0,0,0,299,62,237
  Holistic health ............................................................................,19,1,18,4,0,4,0,0,0
"  Alternative and complementary medicine and medical systems, other ......................................................",22,3,19,20,1,19,0,0,0
  Direct entry midwifery ................................................................................,3,0,3,6,0,6,0,0,0
  Massage therapy/therapeutic massage ......................................................,2,0,2,0,0,0,0,0,0
  Asian bodywork therapy ................................................................................,1,1,0,0,0,0,0,0,0
  Movement therapy and movement education ......................................................,37,15,22,16,0,16,3,2,1
  Herbalism/herbalist .............................................................................................................................................................,10,1,9,22,3,19,0,0,0
"  Energy and biologically based therapies, other ...................................................",9,4,5,0,0,0,0,0,0
  Registered nursing/registered nurse ......................................................,92029,10773,81256,11512,1044,10468,487,54,433
  Nursing administration ................................................................................,308,39,269,3785,393,3392,156,20,136
  Adult health nurse/nursing ......................................................,48,7,41,845,84,761,7,0,7
  Nurse anesthetist ............................................................................,0,0,0,1737,682,1055,60,17,43
  Family practice nurse/nursing ......................................................,476,73,403,3897,413,3484,120,6,114
  Maternal/child health and neonatal nurse/nursing ......................................................,0,0,0,192,5,187,0,0,0
  Nurse midwife/nursing midwifery ......................................................,0,0,0,216,1,215,3,0,3
  Nursing science ............................................................................,1277,165,1112,2195,193,2002,534,29,505
  Pediatric nurse/nursing ................................................................................,0,0,0,267,7,260,0,0,0
  Psychiatric/mental health nurse/nursing ......................................................,0,0,0,221,39,182,1,1,0
  Public health/community nurse/nursing ......................................................,0,0,0,205,7,198,0,0,0
  Perioperative/operating room and surgical nurse/nursing ......................................................,0,0,0,28,1,27,0,0,0
  Clinical nurse specialist ......................................................,62,8,54,263,35,228,38,5,33
  Critical care nursing ................................................................................,0,0,0,117,22,95,2,0,2
  Occupational and environmental health nursing ......................................................,0,0,0,7,1,6,3,0,3
  Emergency room/trauma nursing ......................................................,0,0,0,26,4,22,0,0,0
  Nursing education ..........................................................................................................,23,5,18,1552,94,1458,12,0,12
  Nursing practice ..........................................................................................................,716,80,636,323,48,275,985,95,890
  Palliative care nursing ................................................................................,6,3,3,11,1,10,0,0,0
  Clinical nurse leader ................................................................................,55,5,50,256,27,229,0,0,0
  Geriatric nurse/nursing ................................................................................,0,0,0,92,12,80,0,0,0
  Women's health nurse/nursing ......................................................,0,0,0,152,0,152,0,0,0
"  Reg. nursing, nursing admin., nursing research and clinical nursing, other ......................................................",1295,122,1173,1195,106,1089,121,11,110
  Licensed practical/vocational nurse training .............................................,9,1,8,0,0,0,0,0,0
"  Practical nursing, vocational nursing and nursing assistants, other ......................................................",43,1,42,47,0,47,0,0,0
"  Health professions and related clinical sciences, other ......................................................",4145,990,3155,728,230,498,120,49,71
, ,,, ,,, ,,
"Homeland security, law enforcement, firefighting and related prot. services ............................................................",53767,27740,26027,8402,3947,4455,117,63,54
  Corrections .................................................................................,611,270,341,13,4,9,0,0,0
  Criminal justice/law enforcement administration .............................................,16435,8236,8199,2240,1037,1203,19,10,9
  Criminal justice/safety studies .............................................................,28064,14219,13845,3641,1465,2176,94,52,42
  Forensic science and technology .............................................................,816,211,605,611,143,468,0,0,0
  Criminal justice/police science .............................................................,2035,1272,763,58,25,33,2,1,1
  Security and loss prevention services .......................................................,84,58,26,25,12,13,0,0,0
  Juvenile corrections ........................................................................,28,7,21,5,1,4,1,0,1
  Criminalistics and criminal science .........................................................,134,32,102,14,3,11,0,0,0
  Securities services administration/management .......................................................,760,374,386,225,177,48,0,0,0
  Corrections administration ..................................................................,73,41,32,8,4,4,0,0,0
  Cyber/computer forensics and counterterrorism ......................................................,37,23,14,38,29,9,0,0,0
  Financial forensics and fraud investigation ......................................................,37,6,31,82,37,45,0,0,0
  Law enforcement intelligence analysis ................................................,38,20,18,0,0,0,0,0,0
  Critical incident response/special police operations ...........................................,0,0,0,6,3,3,0,0,0
"  Corrections and criminal justice, other .....................................................",1789,752,1037,104,53,51,0,0,0
  Fire prevention and safety technology/technician ............................................,176,157,19,5,4,1,0,0,0
  Fire services administration ................................................................,389,356,33,39,35,4,0,0,0
  Fire science/firefighting ...................................................................,492,456,36,0,0,0,0,0,0
  Fire/arson investigation and prevention ................................................................,2,1,1,0,0,0,0,0,0
"  Fire protection, other ......................................................................",59,51,8,0,0,0,0,0,0
  Homeland security ..........................................................................................................,424,341,83,379,279,100,0,0,0
  Crisis/emergency/disaster management ......................................................,354,265,89,242,177,65,1,0,1
  Critical infrastructure protection .................................................,52,36,16,33,24,9,0,0,0
"  Homeland security, other ................................................................................",62,44,18,10,8,2,0,0,0
"  Homeland sec., law enforcement, firefighting and related prot. serv., other .....................................................",816,512,304,624,427,197,0,0,0
,,,,,,,,,
Legal professions and studies .............................................................................,4592,1388,3204,6614,3209,3405,46836,24764,22072
  Pre-law studies .............................................................................,276,139,137,0,0,0,0,0,0
"  Legal studies, general .........................................................................................................",1763,640,1123,362,113,249,6,2,4
  Law ....................................................................................................................................,0,0,0,0,0,0,46445,24576,21869
"  Advanced legal research/studies, general ......................................................................................",96,49,47,1304,650,654,136,66,70
  Programs for foreign lawyers ....................................................................,0,0,0,808,400,408,0,0,0
  American/U.S. law/legal studies/jurisprudence .............................................,28,6,22,247,100,147,25,13,12
"  Banking, corporate, finance, and securities law ......................................",0,0,0,235,131,104,0,0,0
  Comparative law ......................................................................................,0,0,0,62,36,26,0,0,0
"  Energy, environment, and natural resources law ..................................",2,1,1,98,56,42,12,7,5
  Health law .............................................................................................,0,0,0,162,34,128,6,2,4
  International law and legal studies .......................................................................,1,1,0,332,156,176,42,22,20
"  International business, trade, and tax law ................................................................",0,0,0,139,83,56,0,0,0
  Tax law/taxation ......................................................................,0,0,0,691,428,263,35,15,20
  Intellectual property law ................................................................................,0,0,0,119,68,51,19,8,11
"  Legal research and advanced professional studies, other .....................................",0,0,0,604,344,260,28,18,10
  Legal administrative assistant/secretary ......................................................,1,0,1,0,0,0,0,0,0
  Legal assistant/paralegal ...................................................................,2009,395,1614,105,17,88,0,0,0
  Court reporting/court reporter ..............................................................,14,0,14,0,0,0,0,0,0
"  Legal support services, other ...............................................................",0,0,0,8,3,5,0,0,0
"  Legal professions and studies, other ........................................................",402,157,245,1338,590,748,82,35,47
, ,,, ,,, ,,
"Liberal arts and sciences, general studies and humanities ...................................",46925,16944,29981,3791,1490,2301,93,32,61
  Liberal arts and sciences/liberal studies ...................................................,26247,8573,17674,2176,841,1335,13,6,7
  General studies .............................................................................,15044,6244,8800,163,50,113,4,0,4
  Humanities/humanistic studies ...............................................................,2577,867,1710,644,239,405,75,25,50
"  Liberal arts and sciences, general studies and humanities, other ............................",3057,1260,1797,808,360,448,1,1,0
, ,,, ,,, ,,
Library science .............................................................................,95,7,88,7441,1425,6016,60,24,36
  Library and information science ...............................................................,95,7,88,7228,1389,5839,60,24,36
"  Library science, other ......................................................................",0,0,0,213,36,177,0,0,0
, ,,, ,,, ,,
Mathematics and statistics ..................................................................,18842,10723,8119,6245,3694,2551,1669,1198,471
"  Mathematics, general ........................................................................",15670,8743,6927,2881,1765,1116,1061,803,258
"  Mathematics, other ..........................................................................",290,166,124,24,12,12,6,4,2
"  Applied mathematics, general .........................................................................",1330,871,459,813,531,282,206,137,69
  Computational mathematics ...................................................................,66,52,14,24,18,6,13,11,2
  Computational and applied mathematics ......................................................,48,27,21,48,34,14,19,14,5
  Financial mathematics ................................................................................,41,22,19,275,162,113,2,2,0
  Mathematical biology ..........................................................................,2,1,1,1,0,1,0,0,0
"  Applied mathematics, other ..................................................................",184,137,47,110,74,36,13,8,5
"  Statistics, general .........................................................................",864,505,359,1832,950,882,323,205,118
  Mathematical statistics and probability .....................................................,110,64,46,124,78,46,19,10,9
  Mathematics and statistics ......................................................,30,23,7,53,29,24,0,0,0
"  Statistics, other ...........................................................................",40,26,14,12,9,3,1,0,1
"  Mathematics and statistics, other ...........................................................",167,86,81,48,32,16,6,4,2
, ,,, ,,, ,,
Military technologies and applied sciences ..............................................................................,86,69,17,29,21,8,0,0,0
"  Intelligence, general .......................................................................... ",7,4,3,0,0,0,0,0,0
  Strategic intelligence ............................................................,0,0,0,27,20,7,0,0,0
"  Military applied sciences, other ......................................................",41,38,3,2,1,1,0,0,0
"  Military technologies and applied sciences, other ......................................................",38,27,11,0,0,0,0,0,0
, ,,, ,,, ,,
Multi/interdisciplinary studies .............................................................,45716,14594,31122,7745,2988,4757,727,297,430
"  Multi/interdisciplinary studies, general .............................................................",2099,795,1304,31,12,19,46,13,33
  Biological and physical sciences ............................................................,2181,903,1278,371,137,234,56,28,28
  Peace studies and conflict resolution .......................................................,393,147,246,587,199,388,36,14,22
  Systems science and theory ..................................................................,217,138,79,209,100,109,17,12,5
  Mathematics and computer science ............................................................,167,124,43,37,27,10,13,12,1
  Biopsychology ...............................................................................,189,56,133,4,1,3,5,1,4
  Gerontology .................................................................................,253,26,227,374,53,321,23,2,21
  Historic preservation and conservation ......................................................,113,32,81,216,50,166,2,1,1
  Cultural resource management and policy analysis ......................................................,0,0,0,29,6,23,1,0,1
  Medieval and renaissance studies ............................................................,47,13,34,16,8,8,9,5,4
  Museology/museum studies ....................................................................,24,7,17,460,58,402,0,0,0
"  Science, technology and society .............................................................",549,310,239,132,56,76,19,7,12
  Accounting and computer science .............................................................,3,1,2,12,7,5,0,0,0
  Behavioral sciences .........................................................................,5161,895,4266,82,28,54,26,9,17
  Natural sciences ............................................................................,567,194,373,141,41,100,6,1,5
  Nutrition sciences ..........................................................................,1623,271,1352,648,94,554,123,26,97
  International/global studies ................................................................,4990,1875,3115,1170,731,439,0,0,0
  Holocaust and related studies ................................................................,6,3,3,6,0,6,0,0,0
  Ancient studies/civilization ................................................................,121,51,70,2,1,1,5,3,2
"  Classical, ancient Mediterranean/Near Eastern studies/archaeology ...................",123,55,68,3,2,1,7,4,3
  Intercultural/multicultural and diversity studies ..........................................,117,28,89,86,21,65,1,1,0
  Cognitive science ...........................................................................,522,230,292,82,38,44,31,20,11
  Cultural studies/critical theory and analysis ......................................................,134,53,81,3,0,3,1,0,1
  Human biology ............................................................................,490,135,355,0,0,0,0,0,0
  Dispute resolution ............................................................................,0,0,0,219,79,140,0,0,0
  Maritime studies ............................................................................,20,6,14,0,0,0,0,0,0
  Computational science ................................................................................,3,2,1,26,23,3,5,4,1
  Human computer interaction ......................................................,0,0,0,59,38,21,5,4,1
  Marine sciences ............................................................................,44,18,26,38,8,30,6,5,1
  Sustainability studies ................................................................................,250,121,129,197,87,110,2,2,0
"  Multi/interdisciplinary studies, other .....................................................",25310,8105,17205,2505,1083,1422,282,123,159
, ,,, ,,, ,,
"Parks, recreation, leisure, and fitness studies ..............................................",38993,20830,18163,7047,3938,3109,288,161,127
"  Parks, recreation and leisure studies .......................................................",2672,1269,1403,302,121,181,24,5,19
"  Parks, recreation and leisure facilities management .........................................",2970,1575,1395,427,238,189,17,11,6
  Golf course operation and grounds management ......................................................,25,21,4,0,0,0,0,0,0
"  Parks, recreation and leisure facilities management, other ..................................................",7,4,3,0,0,0,0,0,0
"  Health and physical education/fitness, general ......................................................",8235,4239,3996,1173,617,556,22,11,11
  Sport and fitness administration/management .................................................,6734,4936,1798,3013,1912,1101,22,16,6
  Kinesiology and exercise science ............................................................,16696,7907,8789,1980,987,993,175,106,69
  Physical fitness technician ......................................................,36,17,19,0,0,0,0,0,0
  Sports studies ............................................................................,202,157,45,77,37,40,0,0,0
"  Health and physical education/fitness, other ................................................",1212,580,632,39,11,28,18,6,12
  Outdoor education ............................................................................,58,37,21,28,12,16,0,0,0
"  Parks, recreation, leisure, and fitness studies, other .......................................",146,88,58,8,3,5,10,6,4
, ,,, ,,, ,,
Philosophy and religious studies ............................................................,12651,7963,4688,2003,1253,750,778,542,236
"  Philosophy and religious studies, general ......................................................",76,47,29,3,1,2,10,5,5
  Philosophy ..................................................................................,7179,4998,2181,810,616,194,479,353,126
  Logic .......................................................................................,5,3,2,10,7,3,1,1,0
  Ethics ......................................................................................,91,29,62,37,14,23,0,0,0
  Applied and professional ethics ......................................................,39,22,17,18,9,9,0,0,0
"  Philosophy, other ...........................................................................",135,68,67,8,4,4,7,7,0
  Religion/religious studies ..................................................................,4088,2212,1876,599,338,261,227,142,85
  Buddhist studies ................................................................,0,0,0,0,0,0,2,1,1
  Christian studies ...........................................................................,441,279,162,252,137,115,0,0,0
  Islamic studies .............................................................................,12,7,5,13,3,10,4,3,1
  Jewish/Judaic studies .......................................................................,134,48,86,64,26,38,10,9,1
"  Religion/religious studies, other ...........................................................",124,64,60,66,38,28,8,4,4
"  Philosophy and religious studies, other .....................................................",327,186,141,123,60,63,30,17,13
, ,,, ,,, ,,
Physical sciences and science technologies ...........................................................................,26663,15972,10691,6910,4299,2611,5370,3609,1761
  Physical sciences ...........................................................................,26103,15664,10439,6869,4279,2590,5369,3608,1761
    Physical sciences ...........................................................................,396,215,181,64,40,24,15,12,3
    Astronomy ...................................................................................,207,128,79,101,59,42,107,69,38
    Astrophysics ................................................................................,149,90,59,15,13,2,34,23,11
    Planetary astronomy and science .............................................................,7,3,4,6,1,5,7,5,2
"    Astronomy and astrophysics, other ...........................................................",29,18,11,5,4,1,22,16,6
"    Atmospheric sciences and meteorology, general ......................................................",531,339,192,198,113,85,116,68,48
    Atmospheric physics and dynamics ....................................................,0,0,0,0,0,0,1,1,0
    Meteorology .................................................................................,193,127,66,39,32,7,8,7,1
"    Atmospheric sciences and meteorology, other .................................................",11,6,5,3,2,1,0,0,0
"    Chemistry, general ..........................................................................",12941,6673,6268,2318,1265,1053,2426,1476,950
    Analytical chemistry ........................................................................,7,2,5,37,22,15,2,2,0
    Inorganic chemistry .....................................................................,0,0,0,0,0,0,2,2,0
    Organic chemistry ...........................................................................,0,0,0,0,0,0,9,9,0
    Physical chemistry ....................................................................................,0,0,0,1,1,0,4,4,0
    Polymer chemistry ...........................................................................,6,4,2,15,11,4,37,23,14
    Chemical physics ............................................................................,13,7,6,4,3,1,16,11,5
    Environmental chemistry ............................................................................................,8,6,2,0,0,0,1,1,0
    Forensic chemistry ................................................................................,48,8,40,0,0,0,0,0,0
"    Chemistry, other ............................................................................",449,204,245,60,31,29,40,23,17
"    Geology/earth science, general ..............................................................",4334,2641,1693,1321,750,571,381,210,171
    Geochemistry ................................................................................,23,8,15,16,6,10,3,2,1
    Geophysics and seismology ...................................................................,94,68,26,104,70,34,54,32,22
    Paleontology ................................................................................,3,3,0,1,1,0,0,0,0
    Hydrology and water resources science .......................................................,60,33,27,58,37,21,10,8,2
    Geochemistry and petrology ............................................................,0,0,0,0,0,0,0,0,0
"    Oceanography, chemical and physical .........................................................",226,120,106,153,67,86,115,60,55
"    Geological and earth sciences/geosciences, other ............................................",371,217,154,154,95,59,49,30,19
"    Physics, general ............................................................................",5265,4263,1002,1681,1323,358,1621,1305,316
    Atomic/molecular physics ....................................................................,16,10,6,11,6,5,9,8,1
    Elementary particle physics ..............................................................,0,0,0,0,0,0,3,2,1
    Nuclear physics .............................................................................,0,0,0,0,0,0,0,0,0
    Optics/optical sciences .....................................................................,37,28,9,77,59,18,38,31,7
    Condensed matter and materials physics ......................................................,0,0,0,1,1,0,6,4,2
    Acoustics ...................................................................................,19,16,3,17,14,3,2,0,2
    Theoretical and mathematical physics ........................................................,9,7,2,0,0,0,0,0,0
"    Physics, other ..............................................................................",185,152,33,85,62,23,73,52,21
    Materials science ................................................................................,104,64,40,178,119,59,136,96,40
    Materials chemistry ................................................................................,8,4,4,9,9,0,3,3,0
"    Materials sciences, other ........................................................................",0,0,0,1,1,0,0,0,0
"    Physical sciences, other ....................................................................",354,200,154,136,62,74,19,13,6
, ,,, ,,, ,,
  Science technologies/technicians ............................................................,560,308,252,41,20,21,1,1,0
"    Science technologies/technicians, general .................................................................",4,4,0,0,0,0,0,0,0
    Biology technician/biotechnology laboratory technician ......................................,50,22,28,0,0,0,1,1,0
    Nuclear/nuclear power technology/technician .................................................,18,17,1,5,4,1,0,0,0
"    Nuclear and industrial radiologic technologies/technicians, other .........................................",1,0,1,0,0,0,0,0,0
    Chemical technology/technician ..............................................................,4,2,2,9,6,3,0,0,0
"    Physical science technologies/technicians, other ............................................",1,1,0,0,0,0,0,0,0
"    Science technologies/technicians, other .....................................................",482,262,220,27,10,17,0,0,0
, ,,, ,,, ,,
Precision production ........................................................................,37,28,9,11,9,2,0,0,0
  Tool and die technology/technician .......................................................,2,2,0,0,0,0,0,0,0
  Welding technology/welder ...................................................................,13,13,0,0,0,0,0,0,0
  Furniture design and manufacturing ..........................................................,22,13,9,11,9,2,0,0,0
, ,,, ,,, ,,
Psychology ..................................................................................,108986,25406,83580,26834,5435,21399,5928,1519,4409
"  Psychology, general .........................................................................",102756,24073,78683,6265,1618,4647,1773,536,1237
  Cognitive psychology and psycholinguistics ..................................................,67,32,35,10,2,8,10,3,7
  Comparative psychology ..............................................................,0,0,0,5,1,4,0,0,0
  Developmental and child psychology ..........................................................,678,49,629,291,32,259,48,4,44
  Experimental psychology .....................................................................,719,170,549,149,50,99,108,48,60
  Personality psychology ......................................................................,23,3,20,6,0,6,0,0,0
  Physiological psychology/psychobiology ......................................................,954,283,671,13,3,10,11,3,8
  Social psychology ...........................................................................,882,193,689,40,14,26,41,13,28
  Psychometrics and quantitative psychology ...................................................,1,0,1,15,5,10,1,1,0
  Psychopharmacology ..........................................................................,0,0,0,37,7,30,0,0,0
"  Research and experimental psychology, other ......................................................",3,1,2,0,0,0,0,0,0
  Clinical psychology ................................................................................,95,20,75,2469,493,1976,2366,507,1859
  Community psychology ................................................................................,469,71,398,280,56,224,23,6,17
  Counseling psychology ...............................................................................,542,100,442,8338,1583,6755,412,99,313
  Industrial and organizational psychology ......................................................,256,106,150,1054,330,724,102,41,61
  School psychology ...........................................................................,0,0,0,1613,205,1408,259,46,213
  Educational psychology ......................................................................,131,8,123,1367,237,1130,470,138,332
  Clinical child psychology ...................................................................,1,0,1,28,4,24,26,5,21
  Environmental psychology ................................................................................,20,15,5,25,9,16,8,3,5
  Geropsychology ..................................................................,0,0,0,1,0,1,1,0,1
  Health/medical psychology ............................................................................................,30,9,21,38,9,29,6,2,4
  Family psychology ...........................................................................,7,1,6,43,5,38,1,0,1
  Forensic psychology .........................................................................,524,85,439,722,102,620,37,5,32
  Applied psychology ..........................................................................................................,297,53,244,580,83,497,8,2,6
  Applied behavior analysis ............................................................................................,52,15,37,181,29,152,30,10,20
"  Clinical, counseling and applied psychology, other ......................................................",1,0,1,626,119,507,53,5,48
"  Psychology, other ..........................................................................................................",478,119,359,2638,439,2199,134,42,92
, ,,, ,,, ,,
Public administration and social service professions ........................................,29695,5385,24310,41680,10475,31205,884,338,546
"  Human services, general .....................................................................",6310,812,5498,1773,316,1457,48,18,30
  Community organization and advocacy .........................................................,2022,454,1568,604,167,437,8,2,6
  Public administration .......................................................................,3259,1640,1619,12926,5441,7485,219,117,102
"  Public policy analysis, general ......................................................................",1108,503,605,2728,1280,1448,221,96,125
  Education policy analysis ................................................................................,0,0,0,15,3,12,7,2,5
  Health policy analysis ................................................................................,67,11,56,36,15,21,0,0,0
  International policy analysis ......................................................,0,0,0,40,25,15,0,0,0
  Social work .................................................................................,16642,1885,14757,22305,2931,19374,298,71,227
  Youth services/administration ...............................................................,18,4,14,12,0,12,0,0,0
"  Social work, other ..........................................................................",39,1,38,77,9,68,0,0,0
"  Public administration and social service professions, other .................................",230,75,155,1164,288,876,83,32,51
, ,,, ,,, ,,
Social sciences and history .............................................................................,178543,90634,87909,21889,10983,10906,4597,2464,2133
  Social sciences .............................................................................,143422,69664,73758,17734,8741,8993,3628,1931,1697
"    Social sciences, general ....................................................................",9656,3361,6295,602,204,398,24,13,11
    Research methodology and quantitative methods ...............................................................,0,0,0,5,3,2,0,0,0
    Anthropology ................................................................................,10679,3073,7606,1185,396,789,563,203,360
    Physical anthropology ................................................................................,58,18,40,12,5,7,4,2,2
    Cultural anthropology ............................................................................................,4,1,3,0,0,0,0,0,0
"    Anthropology, other ...................................................................................................",93,29,64,36,7,29,8,2,6
    Archeology ..................................................................................,264,70,194,46,11,35,10,4,6
    Criminology .................................................................................,6313,3223,3090,732,252,480,53,20,33
    Demography and population studies ...........................................................,0,0,0,94,52,42,9,2,7
